,Id,roberta_neg,roberta_neu,roberta_pos,roberta_polarity,Date,Title,Content,Name,Rating,Version,emotion,,,,
37,39,0.042609848,0.102018483,0.855371714,1,2022-07-09,,This game is nice and you can play it the whole time but the other levels are really hard but it's a good game shame,Reabetswe Komane,5,1.2.1,neutral,,,,
38,40,0.011906676,0.108889453,0.879203856,1,2022-07-04,,Nice game,PRERONA PAUL,5,,embarrassment,,,,
39,41,0.015391572,0.164775655,0.819832802,1,2022-07-03,,", 😯😯😯😯😯😯🥱🥱🥱🥱🥱🥱Itis The funGame",Hemlata Kushwaha,5,,admiration,,,,
40,42,0.127105042,0.784117699,0.088777207,0,2022-06-30,,benedicta Owu,benedicta Owusuwaa owusuwaa,1,,neutral,,,,
41,43,0.44643721,0.410425782,0.143137008,0,2022-06-17,,Noob game😂😂😂😂😂😂,Siddharth #,1,,neutral,,,,
42,44,0.005369699,0.435988963,0.558641315,1,2022-06-10,,How us this helping with body positiveity,Kira Friesen,1,,amusement,,,,
43,45,0.003085411,0.021225417,0.975689232,1,2022-06-02,,Nice game 😍,Zaman Haider,5,,curiosity,,,,
44,46,0.009531351,0.101248376,0.889220297,1,2022-05-29,,Super.game,Jai Kumar,5,,admiration,,,,
45,47,0.005321601,0.046673302,0.94800508,1,2022-05-16,,👍👍👍🥰🥰🥰🥰,erulappanerulappan erulappanerulappan,3,,admiration,,,,
46,48,0.005148673,0.065029569,0.92982173,1,2022-05-16,,So funny 😁,Choya Majumder,5,,neutral,,,,
47,49,0.003087093,0.027084289,0.969828606,1,2022-05-16,,Wow super game this only suitable for oppo phone,ASHWIN RAJ PUSHPANATHAN,5,1.2.1,amusement,,,,
48,50,0.982925057,0.013556134,0.003518723,0,2022-05-14,,I hate this game so much glintching this is so anoying,Mikah Samaila,1,1.2.1,excitement,,,,
49,51,0.48003754,0.387011409,0.132951081,0,2022-05-07,,cringe,Tutucr Games,1,,anger,,,,
50,52,0.970624089,0.023664307,0.005711498,0,2022-05-07,,this game sucks.,Cassidy Minton,1,,fear,,,,
51,53,0.003275224,0.03604088,0.960683882,1,2022-04-29,,Well it's funny and at the end you do a butt contest and it helps you eat healthier and it helps you like it good food and funny it's just so so so so so so so so so so so so so so so so so so funny funny 😅,Gracie Heibeck,5,,disgust,,,,
52,54,0.003260127,0.006095069,0.990644813,1,2022-04-25,,I love it it's so fun,Thandoe Mema,5,,amusement,,,,
53,55,0.979544759,0.017483601,0.002971547,0,2022-04-22,,Please don't download this game. It is so bad very bad experience 😤,Siya Jamwal,2,,joy,,,,
54,56,0.944266737,0.05208594,0.003647315,0,2022-04-13,,This is time wasting aap don't install it,Atharva Gamerz,1,,sadness,,,,
55,57,0.97873652,0.01837177,0.002891611,0,2022-04-12,,very bad game its sensitivity is to bad,Vidhya Prajapati,1,1.2.1,annoyance,,,,
56,58,0.00476895,0.013780576,0.981450438,1,2022-04-09,,I love this game because in this game no adds,Shivam Gupta 07,5,,disgust,,,,
57,59,0.982149541,0.014874391,0.002976041,0,2022-04-03,,This game is so bad.the mouse is too sensitive!never downloading this app again🤢🤢🤢👎👎👎,wen han,2,,love,,,,
58,60,0.220661849,0.64963752,0.129700631,0,2022-04-03,,SaI RAM,Sangeetha Sangeetha,2,1.2.1,sadness,,,,
59,61,0.085356608,0.365940362,0.548703015,1,2022-04-03,,love,Neoxy the kat,5,1.2.1,neutral,,,,
60,62,0.002091298,0.006924888,0.990983844,1,2022-03-28,,❤️❤️❤️i like it so much,Abdullah Amjad,4,,love,,,,
61,63,0.20215562,0.664255619,0.133588806,0,2022-03-22,,Good But Some Laggy,Hossain Kabir Sarker,5,,love,,,,
62,64,0.011906676,0.108889453,0.879203856,1,2022-03-12,,Nice game,Ani Cwsu,4,,nervousness,,,,
63,65,0.006704817,0.067396633,0.925898612,1,2022-03-11,,Best game,Kiran Nosheen,5,,admiration,,,,
64,66,0.003391395,0.070477895,0.926130772,1,2022-03-08,,Cool game,Maribel Segundo,3,,admiration,,,,
65,67,0.890232563,0.094639041,0.015128353,0,2022-03-04,,"It's a body shaming game telling you to get skinny and each level is the exact same it's not different at all,& I never ever saw such a boring game",Moreen Mina,2,1.2.1,excitement,,,,
66,68,0.893875062,0.094790079,0.011334759,0,2022-03-03,,So bad,Banty Patel,1,,embarrassment,,,,
67,69,0.001830977,0.0191186,0.979050457,1,2022-02-25,,I like this game 🎮👌,Masame Addisu,5,,disgust,,,,
68,70,0.002559326,0.006544383,0.990896285,1,2022-02-21,,I love this game it's interesting it's makes me come down and relax on the bed is fun👍👍👍👍,fadzai chirilele,5,,love,,,,
69,71,0.729627788,0.251022577,0.019349642,0,2022-02-19,,Make her fatter and fatter pls,Memphis 1607,5,1.2.1,love,,,,
70,72,0.004246307,0.009250719,0.986503005,1,2022-02-19,,I love the game,awino ogutu,4,,neutral,,,,
71,73,0.001706537,0.034951638,0.963341832,1,2022-02-18,,This game is bodyshaming basically telling girls to eat healthier and be skinnier overall it's pretty fun,Jessica Naso,4,1.2.1,love,,,,
72,74,0.937577069,0.054116115,0.008306833,0,2022-02-10,,Diskasting game 😡😡😡,Sadaf Islam,5,,joy,,,,
73,75,0.642169118,0.326127231,0.031703647,0,2022-02-09,,Ll4 Ew,Albino Seram,2,,sadness,,,,
74,76,0.002551008,0.008026787,0.989422143,1,2022-02-09,,It is the best game ever,Kristine Wright,5,1.2.1,neutral,,,,
75,77,0.210142389,0.739928305,0.04992928,0,2022-02-09,,Bbxdkcdvkdfdjdvdkdhhsvdnxjxkdjnddbffjsdbfjdsodcldfjgddvfbfnfjjffkdkhvddhlskpweohffbjhdidgddnjckfshscksdhddhndbflssjjdkfgdy weehdhhcnnhndjdnhxndyd ukdhdhfhhfljsgpowfrovvdndceuhebjcbdhfgrgbrbgbhbdjslahdgxkdhicfkffbcznxofojddndkcncbjffbfmoajhdjrjfkfkfjfjkkfkdjdngjkbofjfkxkossbsuhkvidbbwkdothydjwbsbnvufjgjjfnfjjfjfjnfufnmlvkfkfpskqjbdhhfnfjjdlqpspruughjjcnxdkdkfjgghnfjgjfdkskkjghhfjfkekdkroohhrhrbgnnbmmvmggmngnndkkvkjfngjffjfngnmjvnfkckbnmvkvbcmvnvnbkvmnfklpfpvpbpvpgjgjgbdnkbkifydyffujvjjjvjcnjckd .,Prabat haloi,5,1.2.1,joy,,,,
76,78,0.015390142,0.100119956,0.884489834,1,2022-02-07,,Nice good,Sunil Saini,4,,neutral,,,,
77,79,0.066038191,0.354452819,0.57950896,1,2022-02-02,,Nice,Raj kamble,5,,admiration,,,,
78,80,0.292415053,0.551323593,0.15626134,0,2022-02-02,,Cooly,Wasi,5,,admiration,,,,
79,81,0.05771653,0.282474965,0.659808517,1,2022-01-14,,The game is nice but some times ir is having glich,marten mondal,5,,neutral,,,,
80,82,0.106145047,0.627847254,0.266007692,1,2022-01-11,,🍔🍔🍔🍔🍔,allan nono,3,1.2.1,joy,,,,
81,83,0.009975342,0.218436033,0.771588624,1,2022-01-08,,cool,J. O.,5,,neutral,,,,
,,,,,,,,,,,,joy,,,,
