,Id,roberta_neg,roberta_neu,roberta_pos,roberta_polarity,Source,Date,Title,Content,Name,Rating,Version,emotion,,,,
46,47,0.005225226,0.023758847,0.97101599,1,Food Gang,2023-02-03,,It was just amazing,Drake Dylan_thomas,5,1.0.6,admiration,,,,
47,48,0.006663651,0.111469015,0.881867349,1,Food Gang,2023-02-03,,The game is fun but a bit relative and the further you unlock you need to get more trophies and only 3 maps and add more characters and maps and maybe new gamemodes.,Felix Thebest,5,1.1.2,approval,,,,
48,49,0.01630896,0.809088707,0.17460233,1,Food Gang,2023-02-03,,the food gang like brawl star and you can play 2 vs 2 or you can play mission and you can open the fridge in this game and you can found fighter in this fridge,Mostafa Moemen,5,1.1.2,neutral,,,,
49,50,0.102424361,0.763529301,0.134046316,1,Food Gang,2023-02-03,,"All boxes have 1 chance of getting a character. I'm telling which it should be. Fridge 10 chance of getting a character, Big fridge 39 chance of getting a character, giant fridge 98 chance of getting a character",Emir Alp UĞUREL,4,1.1.2,approval,,,,
50,51,0.110013828,0.767434955,0.122551255,1,Food Gang,2023-02-02,,Iezzzoezz8zzzzzzzz Sussex zzz i3zizzzejoez,Dejan Trajkovski,5,1.1.2,neutral,,,,
51,52,0.001558464,0.010421507,0.988020003,1,Food Gang,2023-02-01,,I like it. very cool. Would defo recommend.,A Guy.,5,,admiration,,,,
52,53,0.132337302,0.386642545,0.481020123,1,Food Gang,2023-02-01,,It's good I'm just lazy to say something,Ali the laly,4,1.1.2,realization,,,,
53,54,0.011450716,0.150835216,0.837714076,1,Food Gang,2023-01-31,,My best game,Omar Allouzi,5,1.1.2,admiration,,,,
54,55,0.010410137,0.271050274,0.718539596,1,Food Gang,2023-01-31,,👍 go !,Lyna Duldelyna,5,,neutral,,,,
55,56,0.015837837,0.037247762,0.946914434,1,Food Gang,2023-01-31,,I love this game but sometimes i keep losing but i love food gang it has my favorite food sushi and that is nori but is hard to get everything is expensive but i'll work it out great game ok that my review,Ariani Kristianti,5,1.1.2,love,,,,
56,57,0.294320285,0.34335652,0.362323195,1,Food Gang,2023-01-30,,Its good unlike lots of ads and needs more maps and characters because it just gets boring.,Celesta Smith,3,1.1.2,approval,,,,
57,58,0.004795606,0.03363822,0.96156615,1,Food Gang,2023-01-29,,I like this game i win,Iqbal Awgku,5,1.1.2,love,,,,
58,59,0.978138208,0.01713825,0.004723627,0,Food Gang,2023-01-28,,I hate this game,Ian Angelo Arcaina,4,1.1.2,anger,,,,
59,60,0.963354528,0.031271175,0.005374341,0,Food Gang,2023-01-27,,Worst game in the world,Pomay Basha,1,1.1.2,anger,,,,
60,61,0.009006045,0.095556706,0.895437181,1,Food Gang,2023-01-27,,Awesome game but plz expand your map and there will be an mode of zombie and squad,Pulppy Banana,4,1.1.2,admiration,,,,
61,62,0.002224074,0.006740259,0.9910357,1,Food Gang,2023-01-26,,This game is sooooo beautiful download this game,Voidmistake Void,5,1.1.2,admiration,,,,
62,63,0.346105069,0.446509123,0.207385749,0,Food Gang,2023-01-26,,"I played this game but it's been 1 year since I have downloaded this game I have all fighters and now I'm bored to play with them and also there are three maps kitchen,pantry, dining table. And fighters has 4 fighter power so I only want to say that game need new fighters,new maps and new maps. Please give us a new update 🙂🙂🙂",Gayatri Adhvaryu,5,1.1.2,approval,,,,
63,64,0.012418648,0.052087255,0.935494065,1,Food Gang,2023-01-26,,Love the game just the thing is that it's to rare to get a character in a fridge that bit is gringe so I will give it a 3 star,Michelle Oosthuizen,3,1.1.2,love,,,,
64,65,0.139489129,0.267816901,0.592693985,1,Food Gang,2023-01-25,,"I love this game, but I gets really repetitive, it needs new maps, modes, characters, and maybe even a battle pass of sorts, maybe limited characters to keep people engaged in the game. Honestly the game would be better with updates. (Also nah he it so you play with REAL PEOPLE more often, not just bots)",GoatChild,3,1.1.2,love,,,,
65,66,0.737626314,0.231127873,0.031245785,0,Food Gang,2023-01-25,,"Cheap and lazy game. The bots in challenges are always the same, and there is no friends option. The trophy roun chests always gives a fighter on the same chests every account and also in challenges you get a person one shot and another person just steals the kill. You should make it that the person who did the mist damage gets the point.",Ishaan Vidyarthi,1,1.1.2,neutral,,,,
66,67,0.261778265,0.39298296,0.345238835,1,Food Gang,2023-01-23,,Very nice game but when I do duel fight it doesn't show any smoothness plz check it out🙏,Tutan Mondal,4,1.1.2,admiration,,,,
67,68,0.042010993,0.409470141,0.548518896,1,Food Gang,2023-01-22,,this game is so niec and i play 100 food,Kenneth Soriano,4,,neutral,,,,
68,69,0.113447078,0.299943149,0.586609721,1,Food Gang,2023-01-22,,It's a solid game fun good interesting but it lags for me so I got a 4 star if it wasn't I would give 5 stars,Samed Hodzic,4,1.1.2,approval,,,,
69,70,0.500949442,0.275747955,0.223302558,0,Food Gang,2023-01-22,,boom bam boom bam boom bam boom bam!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Liam Alon,4,,surprise,,,,
70,71,0.947684467,0.046356734,0.005958895,0,Food Gang,2023-01-22,,The broccoli is op as f***.,Ashkan Shayesteh,3,,neutral,,,,
71,72,0.138747767,0.808682024,0.052570228,0,Food Gang,2023-01-22,,âmi place că pot să mă lupt cu mâncare,biank16A,5,,neutral,,,,
72,73,0.046155054,0.477976173,0.475868762,1,Food Gang,2023-01-22,,I like but I think you need to put more characters,Seth Dylan L Tiston,4,1.1.2,love,,,,
73,74,0.010414271,0.803174615,0.186411113,1,Food Gang,2023-01-22,,Please ad an update for New character and meles,Prabhat Kumar,5,1.1.2,neutral,,,,
74,75,0.002050553,0.00987698,0.988072515,1,Food Gang,2023-01-21,,Your game is awesome ceep up the great content,Thrift Shop,5,,admiration,,,,
75,76,0.09848278,0.863004267,0.038512986,0,Food Gang,2023-01-21,,Bhai Asalam walekum Aapane game Google DJ khub Sundar aise palar Sundar khurafati CID,MK SRM,1,1.1.2,neutral,,,,
76,77,0.005710149,0.063928917,0.930360973,1,Food Gang,2023-01-21,,My fav game i used to play this so many times,Fuapau Mapuilesua,5,,love,,,,
77,78,0.007595273,0.234056488,0.758348227,1,Food Gang,2023-01-19,,Cool,Rischel Sapalaran,5,,admiration,,,,
78,79,0.228369057,0.248112082,0.52351886,1,Food Gang,2023-01-18,,I love this game sooo much and it's so easy even my lil' bro who is 5y old can win but the only thing that stresses my nerves is.....THE GEMS):< They're impossible to get only in IQD I'm Iraqi (: or waiting for sooo long in the line thingy and we don't even get well deserves prizes of gems so.......... There 2 options to fix this......: 1- Update fridges to %1 character %10 power-up %30 gems %59 coins and token 2-Buying fridges with coins instead of gems... or do u have any idea??,Mhmmd BAYATI,4,,love,,,,
79,80,0.071062014,0.11768122,0.811256707,1,Food Gang,2023-01-18,,"It's very good, although an update would be great! Maybe add a friend option, and a few new fighters! A new game mode would be cool aswell and it's getting pretty boring playing the same exact game that hasn't updated in 2 years or something.",Kyle McClellan,4,1.1.2,admiration,,,,
80,81,0.913410842,0.080742568,0.005846573,0,Food Gang,2023-01-18,,Bored very quick gameplay not smooth,Priyadarshi Chaudhary,1,1.1.2,neutral,,,,
81,82,0.803253472,0.180700466,0.016046092,0,Food Gang,2023-01-17,,When you get to close the a stack of plates you can shoot right through them pls fix this bug,Cloud Toots,4,1.1.2,neutral,,,,
82,83,0.003832906,0.013743671,0.982423425,1,Food Gang,2023-01-16,,I'm Going to be Honest This game is Sick And Awesome It's so Fun yet Chazy 😎😎😎😎😎😎😎😍😍😍😍,Mohamed Elsadig,5,1.1.2,amusement,,,,
83,84,0.172978029,0.791061461,0.035960492,0,Food Gang,2023-01-16,,بازی خوبیه لگ بازی به سرعت اینترنت تون بستگی داره هرچی بیشتر باشه رون تره بازی,Abolfazl One,4,1.0.3,neutral,,,,
84,85,0.626100123,0.354731888,0.019167969,0,Food Gang,2023-01-13,,After I complete the tutorial I can't play a match,Lori Green,1,1.1.2,neutral,,,,
85,86,0.819965541,0.158257797,0.021776672,0,Food Gang,2023-01-13,,Boring It's copy of supercells game brawl stars You should try bs,Aarav Ambere,1,1.1.2,neutral,,,,
86,87,0.02431133,0.32793957,0.647749066,1,Food Gang,2023-01-11,,Wow,FILIP TALEVSKI GAMING,5,1.1.2,surprise,,,,
87,88,0.005951512,0.046901483,0.947146952,1,Food Gang,2023-01-10,,Is a good game but add more map pls ok that all thank you,Nur Amyra,5,,gratitude,,,,
88,89,0.536018312,0.445742249,0.018239461,0,Food Gang,2023-01-09,,Went ad end audio in game get mute,Below Cranjis,4,,neutral,,,,
89,90,0.054184221,0.101242863,0.844572902,1,Food Gang,2023-01-09,,Amazing 🤩 this is the simplest game but it's is very very attractive and good The only problem is we can't save our data 😐 once by mistakely deleted the game and all my process is gone😥 But over all 5/5🌟,Unknown Unknown,5,1.1.2,admiration,,,,
90,91,0.002390656,0.031333324,0.96627599,1,Food Gang,2023-01-07,,Im Happy this game,DEEPIKA KANWAR,5,,joy,,,,
91,92,0.017057493,0.143145844,0.839796662,1,Food Gang,2023-01-06,,I think this game is Legendary and mistick so good but wered i on dining table i just snipe plus hiding plus hard to hit me soooo... Yeah,Viktor Pavlovic,5,1.1.2,admiration,,,,
92,93,0.826509774,0.163807452,0.00968284,0,Food Gang,2023-01-06,,Only one mistake is why we can't play with friends.,Vukasin Djurkovic,4,1.1.2,realization,,,,
93,94,0.088457033,0.255152762,0.65639019,1,Food Gang,2023-01-03,,the game have a really cool look with basic fun gameplay but the game feels laggy also heroes are so hard to get without paying only 3 maps 2 of them good 1 bad 👎 and you play with bots not real people overly adds makes the game feel like ads game and I said the game play is basic and fun but it's very basic makes you the best player in 1 second just jump and shoot with many heroes feeling weak and unfun 2 star's for the look and meh gameplay,عبد المجيد حماد,2,1.1.2,joy,,,,
94,95,0.183138117,0.665179372,0.151682541,0,Food Gang,2023-01-01,,1000'00000000000'000000000000000,Xavier Jakl,5,1.1.2,neutral,,,,
95,96,0.221889287,0.659606338,0.118504338,0,Food Gang,2022-12-31,,DeisjwUSUE,James Edward Salarda,5,,neutral,,,,
96,97,0.001743477,0.007143676,0.991112888,1,Food Gang,2022-12-31,,This is so nice game 👍,Zoya Siddiqui,4,1.1.2,joy,,,,
97,98,0.010138536,0.04076995,0.949091494,1,Food Gang,2022-12-31,,Is a great game but they have to add more mad there is only three but is a good game have fun.,Luis,5,1.1.2,admiration,,,,
98,99,0.10490305,0.858154237,0.036942676,0,Food Gang,2022-12-30,,does anyone know how to do it on computer?,Elle Jacobi,3,,neutral,,,,
99,100,0.293722928,0.52020973,0.186067343,0,Food Gang,2022-12-30,,Uh,Amit Patel,5,,neutral,,,,
100,101,0.873579443,0.104607627,0.021812882,0,Food Gang,2022-12-30,,The game is pretty fun but one thing about this game breaks my heart. It lies to you about being online and it doesn't work while offline. They say these things to be giving you guys ads,Alex,4,1.1.2,joy,,,,
101,102,0.001742458,0.011278912,0.98697865,1,Food Gang,2022-12-30,,It's a good game I like it,Amber Newman,5,1.1.2,joy,,,,
102,103,0.024387114,0.142862797,0.832750082,1,Food Gang,2022-12-30,,Would be a good game IF THERE WERENT SO MANY ADS!!,Rowan Harper,2,1.1.2,excitement,,,,
103,104,0.210547209,0.295272529,0.494180202,1,Food Gang,2022-12-30,,The game is really good but the network of the game is too slow,Mahabub hassan,2,1.1.2,admiration,,,,
104,105,0.001969942,0.011249091,0.986780941,1,Food Gang,2022-12-30,,"It's a very good game,the I find for hours by the way can add when I win undont get 5 so u should add when I won it gives u the 10xp overall very good game and the character are cute",Wendy8576 Wendy,5,1.1.2,admiration,,,,
105,106,0.003379511,0.031024553,0.965595961,1,Food Gang,2022-12-28,,Very good game plz add play with friend feature Plz Plz,Neha Keshari,5,1.1.2,admiration,,,,
106,107,0.00482626,0.040971041,0.954202712,1,Food Gang,2022-12-28,,WOW amazing,Sanjida Rahman,5,1.1.2,admiration,,,,
107,108,0.761336267,0.215060443,0.023603279,0,Food Gang,2022-12-27,,Too much ads.,Labib Hossain,1,1.1.2,excitement,,,,
108,109,0.012013467,0.089409642,0.898576915,1,Food Gang,2022-12-27,,"apart from the ads this game isnt that bad. its kinda like brawl stars but you play against bots in a 2 v 2. i would recommend brawl stars but if you're looking for something like it i would recommend this, appealing fun food shooter game.",FizzNova,5,1.1.2,approval,,,,
109,110,0.165314272,0.764932871,0.069752835,0,Food Gang,2022-12-27,,тргтогго,Alex K,5,1.1.2,neutral,,,,
110,111,0.023853367,0.093386292,0.882760406,1,Food Gang,2022-12-26,,This game is pretty fun but what it lacks is characters and dfiferent game modes. I also feel like you should be able to play with friends. Overall though pretty good game.,Jacob G,4,1.1.2,admiration,,,,
111,112,0.008859615,0.082397811,0.908742547,1,Food Gang,2022-12-26,,This game is very fun games but this 1 map in update in new maps new graphics plz,GAMING Panda,3,,joy,,,,
112,113,0.003879444,0.013201114,0.982919455,1,Food Gang,2022-12-26,,I love food,Darwin Sereta,5,1.1.2,love,,,,
113,114,0.172236398,0.697600543,0.130163074,0,Food Gang,2022-12-26,,Fhtihjho,Bondhuder Adda,3,,neutral,,,,
114,115,0.104984932,0.605826557,0.289188564,1,Food Gang,2022-12-25,,Pro,DARVIN DRVIN,5,,neutral,,,,
115,116,0.003391395,0.070477895,0.926130772,1,Food Gang,2022-12-24,,Cool game,Irfan Haziq,5,,excitement,,,,
116,117,0.012740416,0.745299876,0.241959736,1,Food Gang,2022-12-24,,TF2 on mobile in my opinion,Taco Me Up,4,1.1.2,neutral,,,,
117,118,0.029576752,0.081036724,0.889386475,1,Food Gang,2022-12-24,,first looks at the game: it looks cool btw i am downloading this if this games sucks two stars but it looks good,Koko_ 34,5,,admiration,,,,
118,119,0.007911883,0.095028229,0.897059917,1,Food Gang,2022-12-23,,It's a good game I would just like to see clans bigger amounts of players at a battle and a friending system,Lamphiear Kids,5,1.1.2,admiration,,,,
119,120,0.004517653,0.032462787,0.96301955,1,Food Gang,2022-12-23,,Dis game is the best i remember playing as a child if you want a figthing 2d game i recomed dis for you i say its 100000/5 but there is no 100000 stars so 5/5,dovydas jurevicius,5,,admiration,,,,
120,121,0.00297931,0.017563043,0.979457617,1,Food Gang,2022-12-23,,Very nice game to play,Neelma Devi,4,,admiration,,,,
121,122,0.006666302,0.089974679,0.903358996,1,Food Gang,2022-12-23,,Very good before play,Osama Ramadan,5,,admiration,,,,
122,123,0.635620654,0.296274334,0.068105049,0,Food Gang,2022-12-21,,Nice copy of brawl stars do you know I rated 4 stars cuz there are soo much ads so I even deleted the game,R.K. AMALNATH ISAC,4,,admiration,,,,
123,124,0.034376018,0.153795049,0.811828911,1,Food Gang,2022-12-21,,"Love the game but could there be more careters like a toco,chese and french fries",Light Wolf,5,1.1.2,love,,,,
124,125,0.010410941,0.706907034,0.282682002,1,Food Gang,2022-12-21,,"Hello, please add friend request/friend list",Shelomitha Mikaila,5,1.1.2,neutral,,,,
125,126,0.09274742,0.32908982,0.578162789,1,Food Gang,2022-12-20,,Perfect game 10/10 it would be better if they added new characters and new maps.,Maxx Barrera,5,1.1.2,approval,,,,
126,127,0.656942487,0.295601279,0.047456201,0,Food Gang,2022-12-20,,It makes me hungry,Paul Stone,5,1.1.2,neutral,,,,
127,128,0.03532429,0.784675121,0.180000618,1,Food Gang,2022-12-20,,Please add MULTIPLAYER,AndreiLouis32,1,,neutral,,,,
128,129,0.002554259,0.005525194,0.99192059,1,Food Gang,2022-12-18,,I love this game its just been a few battles and i already love this game alot!!!,Maryrose Clarito,5,1.1.2,love,,,,
129,130,0.734276056,0.243884534,0.021839423,0,Food Gang,2022-12-18,,To Many ads,Philip Wech,1,1.1.2,neutral,,,,
130,131,0.01078222,0.096385621,0.89283216,1,Food Gang,2022-12-17,,V good game,Chandan Das,5,1.0.6,excitement,,,,
131,132,0.001161718,0.048022199,0.950816035,1,Food Gang,2022-12-17,,"My Mom And Me this us, our Favorite game!",ERICA FERNANDEZ,5,1.1.2,joy,,,,
132,133,0.00185338,0.008047537,0.990099132,1,Food Gang,2022-12-16,,This game is very good,Joe,5,,admiration,,,,
133,134,0.041403346,0.33834517,0.620251536,1,Food Gang,2022-12-15,,It is A gud game But I already beat the troph road reward So could u pls update it,Ronney Ramkissoon,5,,neutral,,,,
134,135,0.012938598,0.273326725,0.713734686,1,Food Gang,2022-12-15,,👍👍👍👍👍,Sifiso David,5,,amusement,,,,
135,136,0.043506738,0.301935166,0.654558063,1,Food Gang,2022-12-13,,I liked it but you should add new game modes cuz I just got all 13 foods not with burger King and you guys should make something where you can get stuff called champions of the fridge. And also get new characters please like I dunno cheese.,Jeanne Mouko,5,,love,,,,
136,137,0.699038982,0.265063077,0.035898004,0,Food Gang,2022-12-13,,Can't play offline mode🔕🤬😠👎😵😡😫😓😭 Pls all need can play offline mode now👍🙏,Jomelio Bandal,2,,neutral,,,,
137,138,0.053775843,0.06725397,0.878970146,1,Food Gang,2022-12-13,,I love the game! BUT my only problem is the lag.,Talliyah Thomas,3,1.1.2,love,,,,
138,139,0.006430941,0.060108006,0.93346113,1,Food Gang,2022-12-13,,Super game,Rathinam K,5,,excitement,,,,
139,140,0.003760271,0.029249523,0.966990173,1,Food Gang,2022-12-11,,"Really nice game play and fun characters, if only there were also normal quests along with weekly ones",Rylan Salg,4,1.1.2,admiration,,,,
140,141,0.894330978,0.085106157,0.020562882,0,Food Gang,2022-12-10,,It is fun but make a 1v1 please pr a mode that is a 1v1 because I KEEP HAVING KILLS STOLEN FROM ME AND I F-ING HATE IT,Seth Ritter,3,1.1.2,amusement,,,,
141,142,0.00508026,0.041260563,0.953659117,1,Food Gang,2022-12-10,,Best game of world,Arjun Hati,5,,admiration,,,,
142,143,0.010361276,0.080886163,0.90875262,1,Food Gang,2022-12-09,,This game is realy funny but i still like the game,Rose Bentulan,5,1.1.2,amusement,,,,
143,144,0.002565651,0.013613016,0.983821392,1,Food Gang,2022-12-09,,Very Very amazing good game,rupam das (Ritu Das),5,1.1.2,admiration,,,,
144,145,0.002928696,0.007713894,0.989357412,1,Food Gang,2022-12-09,,Good game.i play this game for 45min.i love this game so much.it has no bugs. My brother: what a game. My brother:give to game 5 star.,Ayushman Ghosh,1,,admiration,,,,
